brand,model,price,year,region,transmission,fuel type,engine capacity,mileage,link
MG,ZS 1.5 CVT (114 л.с.),18 766,2021,Харків,Варіатор, Бензин, 1.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mg-zs-1872747.html
Peugeot,208 1.2 PureTech 6AT (130 л.с.),22 066,2021,Хмельницький,Автомат, Бензин, 1.2 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-peugeot-208-1878456.html
Nissan,X-Trail New FL 1.6dCi CVT (130 л.с.),36 492,2021,Харків,Варіатор, Дизель, 1.6 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-nissan-x-trail-1878087.html
Hyundai,Ioniq Electric 38.3kWh (136 л.с.),33 414,2021,Харків,Варіатор, Електро , Електро , без пробігу ,https://auto.ria.com/uk/newauto/auto-hyundai-ioniq-1870167.html
JAC,S4 1.5i CVT (147 л.с.),21 119,2021,Запоріжжя,Варіатор, Бензин, 1.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-jac-s4-1872294.html
Citroen,C3 1.2 PureTech VTi AT (110 л.с.),21 092,2021,Кропивницький,Автомат, Бензин, 1.2 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-citroen-c3-1878261.html
JAC,J7 1.5T MT (150 л.с.),15 593,2021,Луцьк,Механічна, Бензин, 1.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-jac-j7-1866044.html
Nissan,X-Trail New FL 2.0 CVT (144 л.с.) 4WD,37 359,2021,Тернопіль,Варіатор, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-nissan-x-trail-1877376.html
Citroen,C3 Aircross 1.5 BlueHDi AT S&S (120 л.с.),26 018,2021,Івано-Франківськ,Автомат, Дизель, 1.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-citroen-c3-aircross-1866167.html
Ford,Kuga 1.5 EcoBoost AT (182 л.с.),34 102,2021,Київ,Автомат, Бензин, 1.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-ford-kuga-1878316.html
Nissan,X-Trail New FL 1.6dCi CVT (130 л.с.),32 437,2021,Тернопіль,Варіатор, Дизель, 1.6 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-nissan-x-trail-1877367.html
Nissan,Juke 1.0 DIG-T 7DCT (114 л.с.),24 491,2021,Львів,Роботизована, Бензин, 1.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-nissan-juke-1873141.html
Hyundai,Ioniq Electric 38.3kWh (136 л.с.),33 178,2021,Кропивницький,Варіатор, Електро , Електро , без пробігу ,https://auto.ria.com/uk/newauto/auto-hyundai-ioniq-electric-1875721.html
Nissan,Juke 1.0 DIG-T MT (114 л.с.),18 846,2021,Суми,Механічна, Бензин, 1.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-nissan-juke-1878777.html
Ford,Kuga 1.5 EcoBoost AT (182 л.с.) AWD,35 484,2021,Кропивницький,Автомат, Бензин, 1.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-ford-kuga-1877828.html
Ford,Kuga 1.5 EcoBoost AT (182 л.с.),31 845,2021,Кропивницький,Автомат, Бензин, 1.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-ford-kuga-1866139.html
JAC,S4 1.5i CVT (147 л.с.),21 119,2021,Харків,Варіатор, Бензин, 1.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-jac-s4-1867915.html
Toyota,Camry,9 300,2006,Умань,Автомат, Газ / Бензин, 2.4 л. , 225 тис. км ,https://auto.ria.com/uk/auto_toyota_camry_31952891.html
Volkswagen,Multivan,19 500,2010,Київ,Ручна/Механіка, Дизель, 2 л. , 335 тис. км ,https://auto.ria.com/uk/auto_volkswagen_multivan_31730777.html
Chevrolet,Captiva,13 900,2012,Новоархангельськ,Ручна/Механіка, Дизель, 2.2 л. , 187 тис. км ,https://auto.ria.com/uk/auto_chevrolet_captiva_31952791.html
Hyundai,Santa FE 4x4,11 500,2008,Луцьк,Автомат, Дизель, 2.2 л. , 156 тис. км ,https://auto.ria.com/uk/auto_hyundai_santa_fe_31952793.html
Volkswagen,Sharan,8 200,2007,Любомль,Ручна/Механіка, Дизель, 2 л. , 271 тис. км ,https://auto.ria.com/uk/auto_volkswagen_sharan_31952538.html
Chevrolet,Aveo,2 800,2006,Одеса,Ручна/Механіка, Бензин, 1.5 л. , 198 тис. км ,https://auto.ria.com/uk/auto_chevrolet_aveo_31503496.html
Volkswagen,Jetta SE,10 800,2015,Київ,Автомат, Бензин, 1.4 л. , 120 тис. км ,https://auto.ria.com/uk/auto_volkswagen_jetta_31805275.html
Nissan,Qashqai 1.3 DIG-T Xtronic (150 л.с.),36 380,2021,Хмельницький,Варіатор, Бензин, 1.3 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-nissan-qashqai-1878176.html
Volkswagen,Passat Alltrack High Line,31 400,2019,Рівне,Автомат, Дизель, 2 л. , 122 тис. км ,https://auto.ria.com/uk/auto_volkswagen_passat_alltrack_31638562.html
Acura,MDX Advance,24 000,2014,Буча,Автомат, Бензин, 3.5 л. , 143 тис. км ,https://auto.ria.com/uk/auto_acura_mdx_30641462.html
BMW,428,26 500,2015,Одеса,Автомат, Бензин, 2 л. , 114 тис. км ,https://auto.ria.com/uk/auto_bmw_428_31951731.html
MG,HS 2.0T 6DCT (228 л.с.) AWD,29 100,2021,Полтава,Автомат, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mg-hs-1868886.html
Chery,Tiggo 4 1.5 MT (113 л.с.),15 400,2021,Чернівці,Механічна, Бензин, 1.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-chery-tiggo-4-1871171.html
Chery,Tiggo 4 1.5 MT (113 л.с.),15 400,2021,Чернівці,Механічна, Бензин, 1.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-chery-tiggo-4-1869195.html
Subaru,Forester 2.5 Lineartronic (182 л.с.) AWD,43 678,2022,Київ,Варіатор, Бензин, 2.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-subaru-forester-1873297.html
Fiat,Doblo груз.,6 400,2012,Чернівці,Невказано, Дизель, 1.6 л. , 222 тис. км ,https://auto.ria.com/uk/auto_fiat_doblo_gruz_31906258.html
Hyundai,Sonata,11 000,2017,Київ,Ручна/Механіка, Газ, 2 л. , 202 тис. км ,https://auto.ria.com/uk/auto_hyundai_sonata_31748511.html
Nissan,Juke 1.0 DIG-T 7DCT (114 л.с.),22 272,2021,Вінниця,Роботизована, Бензин, 1.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-nissan-juke-1877955.html
Mazda,CX-3,16 500,2017,Одеса,Автомат, Бензин, 2 л. , 69 тис. км ,https://auto.ria.com/uk/auto_mazda_cx_3_31950733.html
JAC,JS2 1.5VVT 5MT (111 л.с.),14 034,2021,Дніпро,Механічна, Бензин, 1.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-jac-js2-1871306.html
Hyundai,Palisade 2.2 VGT CRDi AT (200 л.с.) 4WD,65 047,2021,Харків,Автомат, Дизель, 2.2 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-hyundai-palisade-1871190.html
Toyota,Land Cruiser 200 Executive,74 900,2017,Рівне,Автомат, Дизель, 4.5 л. , 29 тис. км ,https://auto.ria.com/uk/auto_toyota_land_cruiser_200_31950093.html
Dacia,Logan MCV,10 550,2017,Луцьк,Ручна/Механіка, Дизель, 1.5 л. , 150 тис. км ,https://auto.ria.com/uk/auto_dacia_logan_mcv_31949975.html
Volkswagen,Jetta,6 450,2006,Івано-Франківськ,Ручна/Механіка, Бензин, 2 л. , 130 тис. км ,https://auto.ria.com/uk/auto_volkswagen_jetta_31949702.html
Haval,H6 2.0i 7DCT (204 л.с.) 4WD,30 271,2021,Харків,Автомат, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-haval-h6-1878810.html
Mercedes-Benz,GLE 350,73 800,2018,Одеса,Автомат, Дизель, 3 л. , 46 тис. км ,https://auto.ria.com/uk/auto_mercedes_benz_gle_350_31947930.html
JAC,S4 1.5i MT (147 л.с.),17 796,2021,Запоріжжя,Механічна, Бензин, 1.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-jac-s4-1872292.html
JAC,J7 1.5T CVT (150 л.с.),17 212,2021,Запоріжжя,Варіатор, Бензин, 1.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-jac-j7-1870266.html
JAC,S4 1.5i CVT (147 л.с.),18 356,2021,Черкаси,Варіатор, Бензин, 1.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-jac-s4-1870496.html
Haval,H6 2.0i 7DCT (204 л.с.),28 647,2021,Івано-Франківськ,Автомат, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-haval-h6-1876939.html
Haval,H6 2.0i 7DCT (204 л.с.) 4WD,28 053,2021,Запоріжжя,Автомат, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-haval-h6-1878086.html
Haval,H6 2.0i 7DCT (204 л.с.),30 393,2021,Дніпро,Автомат, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-haval-h6-1862308.html
Haval,Jolion 1.5і MT (143 л.с.),19 200,2021,Кропивницький,Механічна, Бензин, 1.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-haval-jolion-1860220.html
Hyundai,i30 1.5 DPi AT (110 л.с.),21 073,2021,Харків,Автомат, Бензин, 1.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-hyundai-i30-1863020.html
Hyundai,Kona 1.6 Turbo-GDi DCT (177 л.с.) 4WD,26 881,2021,Черкаси,Автомат, Бензин, 1.6 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-hyundai-kona-1858448.html
Hyundai,Kona 1.6 Turbo-GDi DCT (198 л.с.),26 691,2021,Чернігів,Автомат, Бензин, 1.6 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-hyundai-kona-1860087.html
Hyundai,i30 1.5 DPi AT (110 л.с.),17 708,2021,Запоріжжя,Автомат, Бензин, 1.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-hyundai-i30-1862184.html
Kia,Ceed,5 599,2008,Львів,Ручна/Механіка, Газ / Бензин, 1.4 л. , 210 тис. км ,https://auto.ria.com/uk/auto_kia_ceed_31653219.html
Hyundai,Elantra 1.6 MPi MT (127 л.с.),21 591,2021,Київ,Механічна, Бензин, 1.6 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-hyundai-elantra-1869296.html
Hyundai,Elantra 1.6 MPi AT (127 л.с.),19 842,2021,Кропивницький,Автомат, Бензин, 1.6 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-hyundai-elantra-1871419.html
Hyundai,Venue 1.6 MPi AT (123 л.с.),22 274,2021,Харків,Автомат, Бензин, 1.6 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-hyundai-venue-1866351.html
Hyundai,Kona 1.6 Turbo-GDi DCT (198 л.с.),28 324,2021,Київ,Автомат, Бензин, 1.6 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-hyundai-kona-1857774.html
Hyundai,Venue 1.6 MPi AT (123 л.с.),22 274,2021,Київ,Автомат, Бензин, 1.6 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-hyundai-venue-1867826.html
Hyundai,i30 1.5 DPi MT (110 л.с.),18 134,2021,Івано-Франківськ,Механічна, Бензин, 1.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-hyundai-i30-1872430.html
Hyundai,Elantra 1.6 MPi AT (127 л.с.),19 842,2021,Кропивницький,Автомат, Бензин, 1.6 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-hyundai-elantra-1866916.html
Hyundai,Elantra 2.0 MPi AT (159 л.с.),22 742,2021,Черкаси,Автомат, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-hyundai-elantra-1867325.html
Hyundai,Elantra 1.6 MPi AT (127 л.с.),19 842,2021,Харків,Автомат, Бензин, 1.6 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-hyundai-elantra-1865716.html
Hyundai,Venue 1.6 MPi AT (123 л.с.),22 274,2021,Київ,Автомат, Бензин, 1.6 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-hyundai-venue-1867823.html
Hyundai,Venue 1.6 MPi AT (123 л.с.),22 274,2021,Київ,Автомат, Бензин, 1.6 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-hyundai-venue-1863351.html
Hyundai,Elantra 1.6 MPi AT (127 л.с.),19 842,2021,Черкаси,Автомат, Бензин, 1.6 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-hyundai-elantra-1867057.html
Mercedes-Benz,GLE-Class Coupe AMG 53 AT (435 л.с.) 4Matic+,134 324,2021,Київ,Автомат, Бензин, 3.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-gle-class-1836982.html
Mercedes-Benz,G 63 AMG Mercedes-AMG G63 G-Ttonic (585 л.с.) 4Matic,290 279,2021,Київ,Автомат, Бензин, 4.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-g-class-1848604.html
Mercedes-Benz,GLS 580 580 AT (489 л.с.) 4Matic,187 828,2021,Київ,Автомат, Бензин, 4.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-gls-class-1839865.html
Mercedes-Benz,GLS 63 AMG 63 AT (612 л.с.) 4Matic,250 436,2021,Київ,Автомат, Бензин, 4.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-gls-class-1863454.html
Toyota,Land Cruiser 300 3.4 AT (415 л.с.) AWD,114 999,2021,Київ,Автомат, Бензин, 3.4 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-toyota-land-cruiser-300-1868993.html
Mercedes-Benz,S-Class 400d 9G-Tronic (330 л.с.) Long 4Matic,193 518,2021,Київ,Автомат, Дизель, 2.9 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-s-class-1847931.html
Mercedes-Benz,GLS 63 AMG 63 AT (612 л.с.) 4Matic,204 902,2021,Київ,Автомат, Бензин, 4.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-gls-class-1850304.html
Mercedes-Benz,GLE-Class Coupe AMG 53 AT (435 л.с.) 4Matic+,153 676,2021,Київ,Автомат, Бензин, 3.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-gle-class-1840517.html
Mercedes-Benz,GLS 400 400d AT (330 л.с.) 4Matic,142 292,2021,Київ,Автомат, Дизель, 2.9 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-gls-class-1831909.html
Mercedes-Benz,GLE 63 Coupe AMG 63S 9G-TCT (612 л.с.) 4Matic,202 372,2021,Київ,Автомат, Гібрид, 4.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-gle-class-1847420.html
Mercedes-Benz,GLS 63 AMG 63 AT (612 л.с.) 4Matic,241 583,2021,Київ,Автомат, Бензин, 4.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-gls-class-1835316.html
Mercedes-Benz,GLS 580 580 AT (489 л.с.) 4Matic,187 826,2021,Київ,Автомат, Бензин, 4.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-gls-class-1844486.html
Mercedes-Benz,GLS 580 580 AT (489 л.с.) 4Matic,159 368,2021,Київ,Автомат, Бензин, 4.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-gls-class-1840973.html
Mercedes-Benz,GLS 580 580 AT (489 л.с.) 4Matic,195 058,2021,Київ,Автомат, Бензин, 4.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-gls-class-1848663.html
Mercedes-Benz,GLE 400 Coupe 400d AT (330 л.с.) 4Matic,122 941,2021,Київ,Автомат, Дизель, 2.9 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-gle-class-1839277.html
Mercedes-Benz,GLE-Class Coupe AMG 53 AT (435 л.с.) 4Matic+,142 292,2021,Київ,Автомат, Бензин, 3.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-gle-class-1832845.html
Mercedes-Benz,S-Class 500 9G-Tronic (435 л.с.) Long 4Matic,202 372,2022,Київ,Автомат, Бензин, 3.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-s-class-1858394.html
Mercedes-Benz,GLS 400 400d AT (330 л.с.) 4Matic,153 676,2021,Київ,Автомат, Дизель, 2.9 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-gls-class-1847335.html
Mercedes-Benz,G 63 AMG Mercedes-AMG G63 G-Ttonic (585 л.с.) 4Matic,290 278,2021,Київ,Автомат, Бензин, 4.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-g-class-1858397.html
Mercedes-Benz,GLS 580 580 AT (489 л.с.) 4Matic,187 826,2021,Київ,Автомат, Бензин, 4.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-gls-class-1852136.html
Mercedes-Benz,GLS 63 AMG 63 AT (612 л.с.) 4Matic,216 285,2021,Київ,Автомат, Бензин, 4.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-gls-class-1844788.html
Mercedes-Benz,GLE 63 Coupe AMG 63S 9G-TCT (612 л.с.) 4Matic,204 902,2021,Київ,Автомат, Гібрид, 4.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-gle-class-1836737.html
Mercedes-Benz,GLE 63 Coupe AMG 63S 9G-TCT (612 л.с.) 4Matic,204 902,2021,Київ,Автомат, Гібрид, 4.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-gle-class-1851818.html
Mercedes-Benz,G 400 400d AT (340 л.с.) 4Matic,210 593,2021,Київ,Автомат, Дизель, 2.9 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-g-class-1833712.html
Mercedes-Benz,G 63 AMG Mercedes-AMG G63 G-Ttonic (585 л.с.) 4Matic,290 279,2021,Київ,Автомат, Бензин, 4.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-g-class-1835119.html
Mercedes-Benz,GLS 400 400d AT (330 л.с.) 4Matic,122 941,2021,Київ,Автомат, Дизель, 2.9 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-gls-class-1847229.html
Mercedes-Benz,GLS 580 580 AT (489 л.с.) 4Matic,214 010,2021,Київ,Автомат, Бензин, 4.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-gls-class-1856170.html
Mercedes-Benz,GLE 400 Coupe 400d AT (330 л.с.) 4Matic,122 941,2021,Київ,Автомат, Дизель, 2.9 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-gle-class-1840190.html
Kia,Rio,7 650,2012,Рівне,Ручна/Механіка, Дизель, 1.2 л. , 160 тис. км ,https://auto.ria.com/uk/auto_kia_rio_31948836.html
Mitsubishi,ASX 1.6 MT (117 л.с.),21 485,2021,Дніпро,Механічна, Бензин, 1.6 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mitsubishi-asx-1871175.html
Mitsubishi,ASX 1.6 MT (117 л.с.),21 485,2021,Дніпро,Механічна, Бензин, 1.6 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mitsubishi-asx-1860955.html
Mitsubishi,Outlander 2.0 CVT (145 л.с.) 2WD,26 432,2021,Дніпро,Варіатор, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mitsubishi-outlander-1861623.html
Mitsubishi,Outlander 2.0 CVT (145 л.с.) 2WD,26 432,2021,Дніпро,Варіатор, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mitsubishi-outlander-1863138.html
Mitsubishi,Outlander 2.0 CVT (145 л.с.) 2WD,26 043,2021,Дніпро,Варіатор, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mitsubishi-outlander-1861730.html
Mitsubishi,ASX 2.0 CVT (150 л.с.) 4WD,28 057,2021,Дніпро,Варіатор, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mitsubishi-asx-1856778.html
Mitsubishi,Outlander 2.4 CVT (167 л.с.) 4WD 7s,34 559,2021,Дніпро,Варіатор, Бензин, 2.4 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mitsubishi-outlander-1872785.html
Mitsubishi,Outlander 2.0 CVT (145 л.с.) 2WD,26 043,2021,Дніпро,Варіатор, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mitsubishi-outlander-1861746.html
Ford,Focus SE,7 999,2014,Київ,Автомат, Бензин, 2 л. , 129 тис. км ,https://auto.ria.com/uk/auto_ford_focus_28105427.html
Mercedes-Benz,B 180,12 999,2012,Коростень,Ручна/Механіка, Дизель, 1.8 л. , 206 тис. км ,https://auto.ria.com/uk/auto_mercedes_benz_b_180_31754358.html
Kia,Rio X 1.6 AT (123 л.с.),20 600,2022,Львів,Автомат, Бензин, 1.6 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-kia-rio-x-1879132.html
Renault,Megane SW,7 200,2012,Стрий,Ручна/Механіка, Бензин , Бензин , 140 тис. км ,https://auto.ria.com/uk/auto_renault_megane_31948297.html
Mercedes-Benz,E 280 280,3 999,1996,Луцьк,Ручна/Механіка, Газ / Бензин, 2.8 л. , 342 тис. км ,https://auto.ria.com/uk/auto_mercedes_benz_e_280_31948236.html
Mazda,6 2.5T AТ (231 л.с.),37 895,2021,Одеса,Автомат, Бензин, 2.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-6-1872745.html
Mazda,6 2.5 AТ (194 л.с.),29 824,2021,Одеса,Автомат, Бензин, 2.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-6-1847585.html
Mazda,CX-3 2.0 SkyActiv-G АТ (121 л.с.),27 596,2021,Одеса,Автомат, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-cx-3-1859050.html
Mazda,CX-30 2.0 SkyActive AT (150 л.с.),29 208,2021,Одеса,Автомат, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-cx-30-1855875.html
Volkswagen,Jetta,9 650,2012,Київ,Автомат, Бензин, 2 л. , 83 тис. км ,https://auto.ria.com/uk/auto_volkswagen_jetta_31947971.html
Mazda,CX-5 2.0 SkyActiv-G AT (150 л.с.) 2WD,29 085,2021,Харків,Автомат, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-cx-5-1847338.html
Mazda,CX-5 2.0 SkyActiv-G AT (150 л.с.) 2WD,28 275,2021,Харків,Автомат, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-cx-5-1848297.html
Mazda,CX-5 2.0 SkyActiv-G AT (150 л.с.) 4WD,30 841,2021,Харків,Автомат, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-cx-5-1846111.html
Mazda,CX-5 2.0 SkyActiv-G AT (150 л.с.) 2WD,29 085,2021,Харків,Автомат, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-cx-5-1842582.html
Mazda,CX-5 2.5 SkyActiv-G AT (194 л.с.) 4WD,37 216,2021,Харків,Автомат, Бензин, 2.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-cx-5-1840751.html
Mazda,CX-5 2.5 SkyActiv-G AT (194 л.с.) 4WD,37 216,2021,Харків,Автомат, Бензин, 2.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-cx-5-1847893.html
Mazda,CX-5 2.0 SkyActiv-G AT (150 л.с.) 2WD,28 275,2021,Харків,Автомат, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-cx-5-1836236.html
Mazda,CX-5 2.0 SkyActiv-G AT (165 л.с.) 2WD,28 265,2021,Харків,Автомат, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-cx-5-1847719.html
Mazda,CX-30 2.0 SkyActive AT (150 л.с.),27 219,2021,Харків,Автомат, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-cx-30-1841002.html
Mazda,CX-9 2.5 АТ (231 л.с.) AWD,42 087,2021,Харків,Автомат, Бензин, 2.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-cx-9-1868912.html
Mazda,CX-30 2.0 SkyActive AT (150 л.с.),27 219,2021,Харків,Автомат, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-cx-30-1842734.html
Mazda,CX-5 2.5 SkyActiv-G AT (194 л.с.) 4WD,37 216,2021,Харків,Автомат, Бензин, 2.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-cx-5-1846004.html
Mazda,CX-5 2.5 SkyActiv-G AT (194 л.с.) 4WD,37 216,2021,Харків,Автомат, Бензин, 2.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-cx-5-1840883.html
Mazda,6 2.5T AТ (231 л.с.),37 772,2021,Харків,Автомат, Бензин, 2.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-6-1860065.html
Mazda,CX-3 2.0 SkyActiv-G АТ (121 л.с.),24 340,2021,Харків,Автомат, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-cx-3-1840880.html
Mazda,6 2.5T AТ (231 л.с.),37 772,2021,Дніпро,Автомат, Бензин, 2.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-6-1865795.html
Mazda,MX-5 Hard Top 2.0 SkyActiv-G AT (184 л.с.),37 874,2021,Дніпро,Автомат, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-mx-5-1865800.html
Mazda,6 2.5T AТ (231 л.с.),38 275,2021,Дніпро,Автомат, Бензин, 2.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-6-1862765.html
Mazda,CX-9 2.5 АТ (231 л.с.) AWD,53 822,2021,Київ,Автомат, Бензин, 2.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-cx-9-1859818.html
Mazda,6 2.5T AТ (231 л.с.),36 160,2021,Київ,Автомат, Бензин, 2.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-6-1864310.html
Mazda,CX-5 2.5 SkyActiv-G AT (194 л.с.) 4WD,40 640,2021,Київ,Автомат, Бензин, 2.5 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mazda-cx-5-1859839.html
Volkswagen,T5 (Transporter) пасс.,14 700,2010,Новояворівськ,Ручна/Механіка, Дизель, 2 л. , 250 тис. км ,https://auto.ria.com/uk/auto_volkswagen_t5_transporter_pass_31947637.html
Subaru,Legacy,7 200,2006,Одеса,Автомат, Бензин, 2 л. , 118 тис. км ,https://auto.ria.com/uk/auto_subaru_legacy_31947644.html
Nissan,X-Trail New FL 2.0 MT (144 л.с.),24 425,2021,Тернопіль,Механічна, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-nissan-x-trail-1877659.html
